,lon,lat,alt,accuracy,speed,angle
20140120 15:35:05:535,-4.672308349609375E8,-2.3560121536254883E8,724.54944,40.0,0.0,119.599976
20140120 15:35:05:781,-4.672308349609375E8,-2.3560121536254883E8,724.54944,40.0,0.0,119.599976
20140120 15:35:05:936,-4.672308349609375E8,-2.3560121536254883E8,724.54944,40.0,0.0,119.599976
20140120 15:35:06:138,-4.672308349609375E8,-2.3560121536254883E8,724.54944,40.0,0.0,119.599976
20140120 15:35:06:337,-4.672308349609375E8,-2.3560121536254883E8,724.54944,40.0,0.0,119.599976
20140120 15:35:06:536,-4.672308349609375E8,-2.3560121536254883E8,724.5472,40.0,0.0,142.40002
20140120 15:35:06:788,-4.672308349609375E8,-2.3560121536254883E8,724.5472,40.0,0.0,142.40002
20140120 15:35:06:943,-4.672308349609375E8,-2.3560121536254883E8,724.5472,40.0,0.0,142.40002
20140120 15:35:07:137,-4.672308349609375E8,-2.3560121536254883E8,724.5472,40.0,0.0,142.40002
20140120 15:35:07:335,-4.672308349609375E8,-2.3560121536254883E8,724.5472,40.0,0.0,142.40002
20140120 15:35:07:581,-4.6723079681396484E8,-2.3560121536254883E8,724.54486,40.0,0.0,-71.599976
20140120 15:35:07:780,-4.6723079681396484E8,-2.3560121536254883E8,724.54486,40.0,0.0,-71.599976
20140120 15:35:07:941,-4.6723079681396484E8,-2.3560121536254883E8,724.54486,40.0,0.0,-71.599976
20140120 15:35:08:138,-4.6723079681396484E8,-2.3560121536254883E8,724.54486,40.0,0.0,-71.599976
20140120 15:35:08:337,-4.6723079681396484E8,-2.3560121536254883E8,724.54486,40.0,0.0,-71.599976
20140120 15:35:08:538,-4.6723079681396484E8,-2.3560121536254883E8,724.5429,40.0,0.0,-82.900024
20140120 15:35:08:757,-4.6723079681396484E8,-2.3560121536254883E8,724.5429,40.0,0.0,-82.900024
20140120 15:35:08:937,-4.6723079681396484E8,-2.3560121536254883E8,724.5429,40.0,0.0,-82.900024
20140120 15:35:09:136,-4.6723079681396484E8,-2.3560121536254883E8,724.5429,40.0,0.0,-82.900024
20140120 15:35:09:338,-4.6723079681396484E8,-2.3560121536254883E8,724.5429,40.0,0.0,-82.900024
20140120 15:35:09:536,-4.6723079681396484E8,-2.3560121536254883E8,724.54114,40.0,0.0,149.40002
20140120 15:35:09:736,-4.6723079681396484E8,-2.3560121536254883E8,724.54114,40.0,0.0,149.40002
20140120 15:35:09:936,-4.6723079681396484E8,-2.3560121536254883E8,724.54114,40.0,0.0,149.40002
20140120 15:35:10:137,-4.6723079681396484E8,-2.3560121536254883E8,724.54114,40.0,0.0,149.40002
20140120 15:35:10:336,-4.6723079681396484E8,-2.3560121536254883E8,724.54114,40.0,0.0,149.40002
20140120 15:35:10:544,-4.6723079681396484E8,-2.3560123443603516E8,724.4876,40.0,2.8517356,104.5
20140120 15:35:10:760,-4.6723079681396484E8,-2.3560123443603516E8,724.4876,40.0,2.8517356,104.5
20140120 15:35:10:936,-4.6723079681396484E8,-2.3560123443603516E8,724.4876,40.0,2.8517356,104.5
20140120 15:35:11:138,-4.6723079681396484E8,-2.3560123443603516E8,724.4876,40.0,2.8517356,104.5
20140120 15:35:11:342,-4.6723079681396484E8,-2.3560123443603516E8,724.4876,40.0,2.8517356,104.5
20140120 15:35:11:537,-4.672307586669922E8,-2.3560123443603516E8,724.4287,40.0,5.7682805,102.099976
20140120 15:35:11:774,-4.672307586669922E8,-2.3560123443603516E8,724.4287,40.0,5.7682805,102.099976
20140120 15:35:11:945,-4.672307586669922E8,-2.3560123443603516E8,724.4287,40.0,5.7682805,102.099976
20140120 15:35:12:178,-4.672307586669922E8,-2.3560123443603516E8,724.4287,40.0,5.7682805,102.099976
20140120 15:35:12:337,-4.672307586669922E8,-2.3560123443603516E8,724.4287,40.0,5.7682805,102.099976
